Start Datetime (hb),Energy Price ($/kWh),LOAD: Site Load Original Load (kW),PV: solar1 Electric Generation (kW),BATTERY: es Power (kW),BATTERY: es SOC (%),PV Grid Export (kW),Net Grid Import (kW)
1/1/2022 0:00,13.37,1.241092488,0,0,1,0,1.241092488
1/1/2022 1:00,13.37,0.996146592,0,0,1,0,0.996146592
1/1/2022 2:00,14.4,0.914302947,0,0,1,0,0.914302947
1/1/2022 3:00,14.4,0.911195069,0,0,1,0,0.911195069
1/1/2022 4:00,16.71,0.969012115,0,0,1,0,0.969012115
1/1/2022 5:00,16.71,1.299662154,0,0,1,0,1.299662154
1/1/2022 6:00,21.39,2.068527756,0,0,1,0,2.068527756
1/1/2022 7:00,21.39,2.666347433,0,0,1,0,2.666347433
1/1/2022 8:00,21.21,2.565673791,0.567618499,0,1,0,1.998055292
1/1/2022 9:00,21.21,2.177043357,1.214775002,0,1,0,0.962268355
1/1/2022 10:00,21.63,2.011940125,2.296188503,6,1,0.284248378,0
1/1/2022 11:00,21.63,1.908665176,2.493196503,6,0.690721649,0.584531327,0
1/1/2022 12:00,22.87,1.785041151,1.999044502,6,0.381443299,0.214003351,0
1/1/2022 13:00,22.87,1.696953455,4.263665497,0,0.072164948,2.566712042,0
1/1/2022 14:00,18.54,1.651730671,3.418984499,0,0.072164948,1.767253828,0
1/1/2022 15:00,18.54,1.750069885,1.694905002,0,0.072164948,0,0.055164883
1/1/2022 16:00,18.55,2.170273179,0.484383998,0,0.072164948,0,1.685889181
1/1/2022 17:00,18.55,2.977564018,0,0,0.072164948,0,2.977564018
1/1/2022 18:00,15.98,3.615268223,0,-6,0.072164948,0,9.615268223
1/1/2022 19:00,15.98,3.631017227,0,-6,0.350515464,0,9.631017227
1/1/2022 20:00,16.23,3.331458452,0,0,0.628865979,0,3.331458452
1/1/2022 21:00,16.23,2.989772358,0,0,0.628865979,0,2.989772358
1/1/2022 22:00,4.91,2.408799084,0,-6,0.628865979,0,8.408799084
1/1/2022 23:00,4.91,1.846738443,0,-1.8,0.907216495,0,3.646738443
1/2/2022 0:00,4.6,1.257961757,0,6,0.990721649,0,0
1/2/2022 1:00,4.6,1.041901386,0,6,0.681443299,0,0
1/2/2022 2:00,-1.77,0.975919846,0,-6,0.372164948,0,6.975919846
1/2/2022 3:00,-1.77,0.989606011,0,-6,0.650515464,0,6.989606011
1/2/2022 4:00,5.23,1.059010677,0,0,0.928865979,0,1.059010677
1/2/2022 5:00,5.23,1.382274899,0,0,0.928865979,0,1.382274899
1/2/2022 6:00,27.3,2.145033266,0,0,0.928865979,0,2.145033266
1/2/2022 7:00,27.3,2.687958863,0,0,0.928865979,0,2.687958863
1/2/2022 8:00,22.19,2.571125587,1.441836501,0,0.928865979,0,1.129289086
1/2/2022 9:00,22.19,2.20978185,3.021565498,0,0.928865979,0.811783648,0
1/2/2022 10:00,20.94,2.106806047,4.187085,0,0.928865979,2.080278953,0
1/2/2022 11:00,20.94,2.029481688,4.843962501,0,0.928865979,2.814480813,0
1/2/2022 12:00,24.93,1.913228004,4.976596002,0,0.928865979,3.063367998,0
1/2/2022 13:00,24.93,1.843058893,4.621685502,0,0.928865979,2.778626609,0
1/2/2022 14:00,26.94,1.80815031,3.771352501,0,0.928865979,1.963202191,0
1/2/2022 15:00,26.94,1.914629562,2.441167498,0,0.928865979,0.526537936,0
1/2/2022 16:00,33.31,2.332659251,0.816544498,0,0.928865979,0,1.516114753
1/2/2022 17:00,33.31,3.152395108,0,0,0.928865979,0,3.152395108
1/2/2022 18:00,46.48,3.748434221,0,6,0.928865979,0,0
1/2/2022 19:00,46.48,3.751450538,0,6,0.619587629,0,0
1/2/2022 20:00,38.26,3.454824848,0,0,0.310309278,0,3.454824848
1/2/2022 21:00,38.26,3.126430205,0,0,0.310309278,0,3.126430205
1/2/2022 22:00,35.36,2.553290087,0,-6,0.310309278,0,8.553290087
1/2/2022 23:00,35.36,1.985679175,0,-6,0.588659794,0,7.985679175
1/3/2022 0:00,33.87,1.406039109,0,6,0.867010309,0,0
1/3/2022 1:00,33.87,1.156047104,0,6,0.557731959,0,0
1/3/2022 2:00,28.69,1.069203219,0,0,0.248453608,0,1.069203219
1/3/2022 3:00,28.69,1.06023483,0,0,0.248453608,0,1.06023483
1/3/2022 4:00,31.66,1.108128981,0,0,0.248453608,0,1.108128981
1/3/2022 5:00,31.66,1.40017921,0,0,0.248453608,0,1.40017921
1/3/2022 6:00,27.799,2.123150517,0,0,0.248453608,0,2.123150517
1/3/2022 7:00,27.799,2.743308596,0,0,0.248453608,0,2.743308596
1/3/2022 8:00,8.597,2.608441117,0.7267505,-6,0.248453608,0,7.881690617
1/3/2022 9:00,8.597,2.22306966,0.410337998,-6,0.526804124,0,7.812731662
1/3/2022 10:00,16.438,2.087900937,1.827007,0,0.805154639,0,0.260893937
1/3/2022 11:00,16.438,1.981107879,1.512228998,0,0.805154639,0,0.468878881
1/3/2022 12:00,26.242,1.898162518,1.988329497,0,0.805154639,0.090166979,0
1/3/2022 13:00,26.242,1.832109057,1.997206498,0,0.805154639,0.165097441,0
1/3/2022 14:00,27.35,1.803317595,1.4274085,0,0.805154639,0,0.375909095
1/3/2022 15:00,27.35,1.90923149,0.946384999,0,0.805154639,0,0.962846491
1/3/2022 16:00,23.22,2.341032843,0.548775997,0,0.805154639,0,1.792256846
1/3/2022 17:00,23.22,3.16305772,0,0,0.805154639,0,3.16305772
1/3/2022 18:00,28.935,3.761376201,0,0,0.805154639,0,3.761376201
1/3/2022 19:00,28.935,3.765428252,0,0,0.805154639,0,3.765428252
1/3/2022 20:00,29.68,3.475145823,0,0,0.805154639,0,3.475145823
1/3/2022 21:00,29.68,3.153540449,0,6,0.805154639,0,0
1/3/2022 22:00,14.32,2.586307257,0,-6,0.495876289,0,8.586307257
1/3/2022 23:00,14.32,2.021943374,0,-4.38,0.774226804,0,6.401943374
1/4/2022 0:00,3.09,1.451035158,0,6,0.97742268,0,0
