Start Datetime (hb),Energy Price ($/kWh)
1/1/2022 0:00,13.37
1/1/2022 1:00,13.37
1/1/2022 2:00,14.4
1/1/2022 3:00,14.4
1/1/2022 4:00,16.71
1/1/2022 5:00,16.71
1/1/2022 6:00,21.39
1/1/2022 7:00,21.39
1/1/2022 8:00,21.21
1/1/2022 9:00,21.21
1/1/2022 10:00,21.63
1/1/2022 11:00,21.63
1/1/2022 12:00,22.87
1/1/2022 13:00,22.87
1/1/2022 14:00,18.54
1/1/2022 15:00,18.54
1/1/2022 16:00,18.55
1/1/2022 17:00,18.55
1/1/2022 18:00,15.98
1/1/2022 19:00,15.98
1/1/2022 20:00,16.23
1/1/2022 21:00,16.23
1/1/2022 22:00,4.91
1/1/2022 23:00,4.91
1/2/2022 0:00,4.6
1/2/2022 1:00,4.6
1/2/2022 2:00,-1.77
1/2/2022 3:00,-1.77
1/2/2022 4:00,5.23
1/2/2022 5:00,5.23
1/2/2022 6:00,27.3
1/2/2022 7:00,27.3
1/2/2022 8:00,22.19
1/2/2022 9:00,22.19
1/2/2022 10:00,20.94
1/2/2022 11:00,20.94
1/2/2022 12:00,24.93
1/2/2022 13:00,24.93
1/2/2022 14:00,26.94
1/2/2022 15:00,26.94
1/2/2022 16:00,33.31
1/2/2022 17:00,33.31
1/2/2022 18:00,46.48
1/2/2022 19:00,46.48
1/2/2022 20:00,38.26
1/2/2022 21:00,38.26
1/2/2022 22:00,35.36
1/2/2022 23:00,35.36
1/3/2022 0:00,33.87
1/3/2022 1:00,33.87
1/3/2022 2:00,28.69
1/3/2022 3:00,28.69
1/3/2022 4:00,31.66
1/3/2022 5:00,31.66
1/3/2022 6:00,27.799
1/3/2022 7:00,27.799
1/3/2022 8:00,8.597
1/3/2022 9:00,8.597
1/3/2022 10:00,16.438
1/3/2022 11:00,16.438
1/3/2022 12:00,26.242
1/3/2022 13:00,26.242
1/3/2022 14:00,27.35
1/3/2022 15:00,27.35
1/3/2022 16:00,23.22
1/3/2022 17:00,23.22
1/3/2022 18:00,28.935
1/3/2022 19:00,28.935
1/3/2022 20:00,29.68
1/3/2022 21:00,29.68
1/3/2022 22:00,14.32
1/3/2022 23:00,14.32
1/4/2022 0:00,3.09
1/4/2022 1:00,3.09
1/4/2022 2:00,-3.29
1/4/2022 3:00,-3.29
1/4/2022 4:00,3.56
1/4/2022 5:00,3.56
1/4/2022 6:00,8.276
1/4/2022 7:00,8.276
1/4/2022 8:00,10.475
1/4/2022 9:00,10.475
1/4/2022 10:00,25.569
1/4/2022 11:00,25.569
1/4/2022 12:00,27.93
1/4/2022 13:00,27.93
1/4/2022 14:00,32.43
1/4/2022 15:00,32.43
1/4/2022 16:00,37.41
1/4/2022 17:00,37.41
1/4/2022 18:00,35.48
1/4/2022 19:00,35.48
1/4/2022 20:00,33
1/4/2022 21:00,33
1/4/2022 22:00,34.63
1/4/2022 23:00,34.63
1/5/2022 0:00,30.74
1/5/2022 1:00,30.74
1/5/2022 2:00,24.41
1/5/2022 3:00,24.41
1/5/2022 4:00,17.59
1/5/2022 5:00,17.59
1/5/2022 6:00,18.176
1/5/2022 7:00,18.176
1/5/2022 8:00,9.936
1/5/2022 9:00,9.936
1/5/2022 10:00,15.71
1/5/2022 11:00,15.71
1/5/2022 12:00,6.691
1/5/2022 13:00,6.691
1/5/2022 14:00,3.424
1/5/2022 15:00,3.424
1/5/2022 16:00,8.434
1/5/2022 17:00,8.434
1/5/2022 18:00,19.479
1/5/2022 19:00,19.479
1/5/2022 20:00,26.862
1/5/2022 21:00,26.862
1/5/2022 22:00,31.21
1/5/2022 23:00,31.21
1/6/2022 0:00,34.53
1/6/2022 1:00,34.53
1/6/2022 2:00,30.13
1/6/2022 3:00,30.13
1/6/2022 4:00,33.26
1/6/2022 5:00,33.26
1/6/2022 6:00,45.988
1/6/2022 7:00,45.988
1/6/2022 8:00,37.101
1/6/2022 9:00,37.101
1/6/2022 10:00,33.35
1/6/2022 11:00,33.35
1/6/2022 12:00,28.86
1/6/2022 13:00,28.86
1/6/2022 14:00,28.35
1/6/2022 15:00,28.35
1/6/2022 16:00,29.52
1/6/2022 17:00,29.52
1/6/2022 18:00,24.02
1/6/2022 19:00,24.02
1/6/2022 20:00,22.25
1/6/2022 21:00,22.25
1/6/2022 22:00,19.62
1/6/2022 23:00,19.62
1/7/2022 0:00,21.04
1/7/2022 1:00,21.04
1/7/2022 2:00,25.84
1/7/2022 3:00,25.84
1/7/2022 4:00,32.3
1/7/2022 5:00,32.3
1/7/2022 6:00,36.45
1/7/2022 7:00,36.45
1/7/2022 8:00,33.95
1/7/2022 9:00,33.95
1/7/2022 10:00,36.17
1/7/2022 11:00,36.17
1/7/2022 12:00,35.32
1/7/2022 13:00,35.32
1/7/2022 14:00,27.67
1/7/2022 15:00,27.67
1/7/2022 16:00,27.67
1/7/2022 17:00,27.67
1/7/2022 18:00,28.56
1/7/2022 19:00,28.56
1/7/2022 20:00,25.45
1/7/2022 21:00,25.45
1/7/2022 22:00,17.77
1/7/2022 23:00,17.77
1/8/2022 0:00,-5.04
1/8/2022 1:00,-5.04
1/8/2022 2:00,-3.63
1/8/2022 3:00,-3.63
1/8/2022 4:00,14.81
1/8/2022 5:00,14.81
1/8/2022 6:00,29.49
1/8/2022 7:00,29.49
1/8/2022 8:00,24.8
1/8/2022 9:00,24.8
1/8/2022 10:00,26.94
1/8/2022 11:00,26.94
1/8/2022 12:00,26.68
1/8/2022 13:00,26.68
1/8/2022 14:00,26.82
1/8/2022 15:00,26.82
1/8/2022 16:00,31.61
1/8/2022 17:00,31.61
1/8/2022 18:00,34.16
1/8/2022 19:00,34.16
1/8/2022 20:00,33.76
1/8/2022 21:00,33.76
1/8/2022 22:00,29.27
1/8/2022 23:00,29.27
1/9/2022 0:00,32.04
1/9/2022 1:00,32.04
1/9/2022 2:00,30.02
1/9/2022 3:00,30.02
1/9/2022 4:00,33.42
1/9/2022 5:00,33.42
1/9/2022 6:00,28.96
1/9/2022 7:00,28.96
1/9/2022 8:00,27.317
1/9/2022 9:00,27.317
1/9/2022 10:00,24.767
1/9/2022 11:00,24.767
1/9/2022 12:00,14.976
1/9/2022 13:00,14.976
1/9/2022 14:00,14.303
1/9/2022 15:00,14.303
1/9/2022 16:00,25.74
1/9/2022 17:00,25.74
1/9/2022 18:00,34.378
1/9/2022 19:00,34.378
1/9/2022 20:00,24.392
1/9/2022 21:00,24.392
1/9/2022 22:00,34.44
1/9/2022 23:00,34.44
1/10/2022 0:00,33.67
1/10/2022 1:00,33.67
1/10/2022 2:00,33.31
