Start Datetime (hb),BATTERY: es Power (kW),BATTERY: es SOC (%),LOAD: Site Load Original Load (kW),DR Event (y/n),System Load (kW),Net Load (kW),PV Grid Export (kW),Net Grid Import (kW)
1/1/2022 0:00,0,100%,1.241092488,FALSE,"30,252,629",1.241092488,0,1.241092488
1/1/2022 1:00,0,100%,0.996146592,FALSE,"30,241,312",0.996146592,0,0.996146592
1/1/2022 2:00,0,100%,0.914302947,FALSE,"30,130,350",0.914302947,0,0.914302947
1/1/2022 3:00,0,100%,0.911195069,FALSE,"29,876,031",0.911195069,0,0.911195069
1/1/2022 4:00,0,100%,0.969012115,FALSE,"30,040,023",0.969012115,0,0.969012115
1/1/2022 5:00,0,100%,1.299662154,FALSE,"30,522,870",1.299662154,0,1.299662154
1/1/2022 6:00,0,100%,2.068527756,FALSE,"31,206,870",2.068527756,0,2.068527756
1/1/2022 7:00,0,100%,2.666347433,FALSE,"31,739,123",2.666347433,0,2.666347433
1/1/2022 8:00,0,100%,2.565673791,FALSE,"31,978,644",2.565673791,0,2.565673791
1/1/2022 9:00,0,100%,2.177043357,FALSE,"32,490,338",2.177043357,0,2.177043357
1/1/2022 10:00,0,100%,2.011940125,FALSE,"32,957,395",2.011940125,0,2.011940125
1/1/2022 11:00,0,100%,1.908665176,FALSE,"33,029,236",1.908665176,0,1.908665176
1/1/2022 12:00,0,100%,1.785041151,FALSE,"32,921,907",1.785041151,0,1.785041151
1/1/2022 13:00,0,100%,1.696953455,FALSE,"32,558,803",1.696953455,0,1.696953455
1/1/2022 14:00,0,100%,1.651730671,FALSE,"32,242,266",1.651730671,0,1.651730671
1/1/2022 15:00,0,100%,1.750069885,FALSE,"32,228,906",1.750069885,0,1.750069885
1/1/2022 16:00,0,100%,2.170273179,FALSE,"32,825,079",2.170273179,0,2.170273179
1/1/2022 17:00,0,100%,2.977564018,FALSE,"34,278,858",2.977564018,0,2.977564018
1/1/2022 18:00,0,100%,3.615268223,FALSE,"34,769,226",3.615268223,0,3.615268223
1/1/2022 19:00,0,100%,3.631017227,FALSE,"34,505,146",3.631017227,0,3.631017227
1/1/2022 20:00,0,100%,3.331458452,FALSE,"34,047,320",3.331458452,0,3.331458452
1/1/2022 21:00,0,100%,2.989772358,FALSE,"33,258,734",2.989772358,0,2.989772358
1/1/2022 22:00,0,100%,2.408799084,FALSE,"32,153,121",2.408799084,0,2.408799084
1/1/2022 23:00,0,100%,1.846738443,FALSE,"31,115,028",1.846738443,0,1.846738443
1/2/2022 0:00,0,100%,1.257961757,FALSE,"30,396,007",1.257961757,0,1.257961757
1/2/2022 1:00,0,100%,1.041901386,FALSE,"30,027,168",1.041901386,0,1.041901386
1/2/2022 2:00,0,100%,0.975919846,FALSE,"29,930,473",0.975919846,0,0.975919846
1/2/2022 3:00,0,100%,0.989606011,FALSE,"30,064,933",0.989606011,0,0.989606011
1/2/2022 4:00,0,100%,1.059010677,FALSE,"30,527,742",1.059010677,0,1.059010677
1/2/2022 5:00,0,100%,1.382274899,FALSE,"31,780,730",1.382274899,0,1.382274899
1/2/2022 6:00,0,100%,2.145033266,FALSE,"33,570,730",2.145033266,0,2.145033266
1/2/2022 7:00,0,100%,2.687958863,FALSE,"34,932,655",2.687958863,0,2.687958863
1/2/2022 8:00,0,100%,2.571125587,FALSE,"35,061,675",2.571125587,0,2.571125587
1/2/2022 9:00,0,100%,2.20978185,FALSE,"35,130,167",2.20978185,0,2.20978185
1/2/2022 10:00,0,100%,2.106806047,FALSE,"35,063,515",2.106806047,0,2.106806047
1/2/2022 11:00,0,100%,2.029481688,FALSE,"34,750,168",2.029481688,0,2.029481688
1/2/2022 12:00,0,100%,1.913228004,FALSE,"34,371,704",1.913228004,0,1.913228004
1/2/2022 13:00,0,100%,1.843058893,FALSE,"34,023,040",1.843058893,0,1.843058893
1/2/2022 14:00,0,100%,1.80815031,FALSE,"33,724,616",1.80815031,0,1.80815031
1/2/2022 15:00,0,100%,1.914629562,FALSE,"33,504,638",1.914629562,0,1.914629562
