Start Datetime (hb),BATTERY: es Power (kW),BATTERY: es SOC (%),Energy Price ($/kWh),LOAD: Site Load Original Load (kW),PV Grid Export (kW),Net Grid Import (kW)
1/1/2022 0:00,0,1,13.37,1.241092488,0,1.241092488
1/1/2022 1:00,0,1,13.37,0.996146592,0,0.996146592
1/1/2022 2:00,0,1,14.4,0.914302947,0,0.914302947
1/1/2022 3:00,0,1,14.4,0.911195069,0,0.911195069
1/1/2022 4:00,0,1,16.71,0.969012115,0,0.969012115
1/1/2022 5:00,0,1,16.71,1.299662154,0,1.299662154
1/1/2022 6:00,0,1,21.39,2.068527756,0,2.068527756
1/1/2022 7:00,0,1,21.39,2.666347433,0,2.666347433
1/1/2022 8:00,0,1,21.21,2.565673791,0,2.565673791
1/1/2022 9:00,0,1,21.21,2.177043357,0,2.177043357
1/1/2022 10:00,2.011940125,1,21.63,2.011940125,0,0
1/1/2022 11:00,1.908665176,0.896291746,21.63,1.908665176,0,0
1/1/2022 12:00,1.785041151,0.797906943,22.87,1.785041151,0,0
1/1/2022 13:00,1.696953455,0.705894513,22.87,1.696953455,0,0
1/1/2022 14:00,0,0.618422685,18.54,1.651730671,0,1.651730671
1/1/2022 15:00,0,0.618422685,18.54,1.750069885,0,1.750069885
1/1/2022 16:00,0,0.618422685,18.55,2.170273179,0,2.170273179
1/1/2022 17:00,0,0.618422685,18.55,2.977564018,0,2.977564018
1/1/2022 18:00,0,0.618422685,15.98,3.615268223,0,3.615268223
1/1/2022 19:00,0,0.618422685,15.98,3.631017227,0,3.631017227
1/1/2022 20:00,0,0.618422685,16.23,3.331458452,0,3.331458452
1/1/2022 21:00,0,0.618422685,16.23,2.989772358,0,2.989772358
1/1/2022 22:00,-6,0.618422685,4.91,2.408799084,0,8.408799084
1/1/2022 23:00,-2.002599907,0.896773201,4.91,1.846738443,0,3.849338349
1/2/2022 0:00,0,0.98967732,4.6,1.257961757,0,1.257961757
1/2/2022 1:00,0,0.98967732,4.6,1.041901386,0,1.041901386
1/2/2022 2:00,0,0.98967732,-1.77,0.975919846,0,0.975919846
1/2/2022 3:00,0,0.98967732,-1.77,0.989606011,0,0.989606011
1/2/2022 4:00,0,0.98967732,5.23,1.059010677,0,1.059010677
1/2/2022 5:00,0,0.98967732,5.23,1.382274899,0,1.382274899
1/2/2022 6:00,0,0.98967732,27.3,2.145033266,0,2.145033266
1/2/2022 7:00,0,0.98967732,27.3,2.687958863,0,2.687958863
1/2/2022 8:00,0,0.98967732,22.19,2.571125587,0,2.571125587
1/2/2022 9:00,0,0.98967732,22.19,2.20978185,0,2.20978185
1/2/2022 10:00,0,0.98967732,20.94,2.106806047,0,2.106806047
1/2/2022 11:00,0,0.98967732,20.94,2.029481688,0,2.029481688
1/2/2022 12:00,0,0.98967732,24.93,1.913228004,0,1.913228004
1/2/2022 13:00,0,0.98967732,24.93,1.843058893,0,1.843058893
1/2/2022 14:00,0,0.98967732,26.94,1.80815031,0,1.80815031
1/2/2022 15:00,0,0.98967732,26.94,1.914629562,0,1.914629562
1/2/2022 16:00,0,0.98967732,33.31,2.332659251,0,2.332659251
1/2/2022 17:00,0,0.98967732,33.31,3.152395108,0,3.152395108
1/2/2022 18:00,3.748434221,0.98967732,46.48,3.748434221,0,0
1/2/2022 19:00,3.751450538,0.796459061,46.48,3.751450538,0,0
1/2/2022 20:00,3.454824848,0.603085322,38.26,3.454824848,0,0
1/2/2022 21:00,0,0.425001567,38.26,3.126430205,0,3.126430205
1/2/2022 22:00,-6,0.425001567,35.36,2.553290087,0,8.553290087
1/2/2022 23:00,-5.754969598,0.703352083,35.36,1.985679175,0,7.740648773
1/3/2022 0:00,1.406039109,0.970335208,33.87,1.406039109,0,0
1/3/2022 1:00,1.156047104,0.897858966,33.87,1.156047104,0,0
1/3/2022 2:00,0,0.838268909,28.69,1.069203219,0,1.069203219
1/3/2022 3:00,0,0.838268909,28.69,1.06023483,0,1.06023483
1/3/2022 4:00,1.108128981,0.838268909,31.66,1.108128981,0,0
1/3/2022 5:00,1.40017921,0.781148858,31.66,1.40017921,0,0
1/3/2022 6:00,0,0.708974672,27.799,2.123150517,0,2.123150517
1/3/2022 7:00,0,0.708974672,27.799,2.743308596,0,2.743308596
1/3/2022 8:00,-5.645891364,0.708974672,8.597,2.608441117,0,8.254332481
1/3/2022 9:00,-0.564589136,0.970897467,8.597,2.22306966,0,2.787658796
1/3/2022 10:00,0,0.997089747,16.438,2.087900937,0,2.087900937
1/3/2022 11:00,0,0.997089747,16.438,1.981107879,0,1.981107879
1/3/2022 12:00,0,0.997089747,26.242,1.898162518,0,1.898162518
1/3/2022 13:00,0,0.997089747,26.242,1.832109057,0,1.832109057
1/3/2022 14:00,0,0.997089747,27.35,1.803317595,0,1.803317595
1/3/2022 15:00,0,0.997089747,27.35,1.90923149,0,1.90923149
1/3/2022 16:00,0,0.997089747,23.22,2.341032843,0,2.341032843
1/3/2022 17:00,0,0.997089747,23.22,3.16305772,0,3.16305772
1/3/2022 18:00,0,0.997089747,28.935,3.761376201,0,3.761376201
1/3/2022 19:00,0,0.997089747,28.935,3.765428252,0,3.765428252
1/3/2022 20:00,0,0.997089747,29.68,3.475145823,0,3.475145823
1/3/2022 21:00,3.153540449,0.997089747,29.68,3.153540449,0,0
1/3/2022 22:00,-3.209999362,0.834536115,14.32,2.586307257,0,5.79630662
1/3/2022 23:00,-0.320999936,0.983453612,14.32,2.021943374,0,2.34294331
1/4/2022 0:00,0,0.998345361,3.09,1.451035158,0,1.451035158
1/4/2022 1:00,0,0.998345361,3.09,1.208794742,0,1.208794742
1/4/2022 2:00,0,0.998345361,-3.29,1.124568636,0,1.124568636
1/4/2022 3:00,0,0.998345361,-3.29,1.117963702,0,1.117963702
1/4/2022 4:00,0,0.998345361,3.56,1.16720208,0,1.16720208
1/4/2022 5:00,0,0.998345361,3.56,1.460382204,0,1.460382204
1/4/2022 6:00,0,0.998345361,8.276,2.183541627,0,2.183541627
1/4/2022 7:00,0,0.998345361,8.276,2.793752836,0,2.793752836
1/4/2022 8:00,0,0.998345361,10.475,2.645646547,0,2.645646547
1/4/2022 9:00,0,0.998345361,10.475,2.271201637,0,2.271201637
1/4/2022 10:00,0,0.998345361,25.569,2.112349211,0,2.112349211
1/4/2022 11:00,0,0.998345361,25.569,1.974745166,0,1.974745166
