Start Datetime (hb),BATTERY: es Power (kW),BATTERY: es SOC (%),LOAD: Site Load Original Load (kW),Net Load with Export (kW),PV: solar1 Electric Generation (kW),PV Grid Export (kW),Net Grid Import (kW)
1/1/2022 0:00,0,1,1.241092488,1.241092488,0,0,1.241092488
1/1/2022 1:00,0,1,0.996146592,0.996146592,0,0,0.996146592
1/1/2022 2:00,0,1,0.914302947,0.914302947,0,0,0.914302947
1/1/2022 3:00,0,1,0.911195069,0.911195069,0,0,0.911195069
1/1/2022 4:00,0,1,0.969012115,0.969012115,0,0,0.969012115
1/1/2022 5:00,0,1,1.299662154,1.299662154,0,0,1.299662154
1/1/2022 6:00,0,1,2.068527756,2.068527756,0,0,2.068527756
1/1/2022 7:00,0,1,2.666347433,2.666347433,0,0,2.666347433
1/1/2022 8:00,0,1,2.565673791,2.565673791,0,0,2.565673791
1/1/2022 9:00,0,1,2.177043357,2.177043357,0,0,2.177043357
1/1/2022 10:00,0,1,2.011940125,2.011940125,0,0,2.011940125
1/1/2022 11:00,0,1,1.908665176,1.908665176,0,0,1.908665176
1/1/2022 12:00,0,1,1.785041151,1.785041151,0,0,1.785041151
1/1/2022 13:00,0,1,1.696953455,1.696953455,0,0,1.696953455
1/1/2022 14:00,0,1,1.651730671,1.651730671,0,0,1.651730671
1/1/2022 15:00,0,1,1.750069885,1.750069885,0,0,1.750069885
1/1/2022 16:00,0,1,2.170273179,2.170273179,0,0,2.170273179
1/1/2022 17:00,0,1,2.977564018,2.977564018,0,0,2.977564018
1/1/2022 18:00,0,1,3.615268223,3.615268223,0,0,3.615268223
1/1/2022 19:00,0,1,3.631017227,3.631017227,0,0,3.631017227
1/1/2022 20:00,0,1,3.331458452,3.331458452,0,0,3.331458452
1/1/2022 21:00,0,1,2.989772358,2.989772358,0,0,2.989772358
1/1/2022 22:00,0,1,2.408799084,2.408799084,0,0,2.408799084
1/1/2022 23:00,0,1,1.846738443,1.846738443,0,0,1.846738443
1/2/2022 0:00,0,1,1.257961757,1.257961757,0,0,1.257961757
1/2/2022 1:00,0,1,1.041901386,1.041901386,0,0,1.041901386
1/2/2022 2:00,0,1,0.975919846,0.975919846,0,0,0.975919846
1/2/2022 3:00,0,1,0.989606011,0.989606011,0,0,0.989606011
1/2/2022 4:00,0,1,1.059010677,1.059010677,0,0,1.059010677
1/2/2022 5:00,0,1,1.382274899,1.382274899,0,0,1.382274899
1/2/2022 6:00,0,1,2.145033266,2.145033266,0,0,2.145033266
1/2/2022 7:00,0,1,2.687958863,2.687958863,0,0,2.687958863
1/2/2022 8:00,0,1,2.571125587,2.571125587,0,0,2.571125587
1/2/2022 9:00,0,1,2.20978185,2.20978185,0,0,2.20978185
1/2/2022 10:00,0,1,2.106806047,2.106806047,0,0,2.106806047
1/2/2022 11:00,0,1,2.029481688,2.029481688,0,0,2.029481688
1/2/2022 12:00,0,1,1.913228004,1.913228004,0,0,1.913228004
1/2/2022 13:00,0,1,1.843058893,1.843058893,0,0,1.843058893
1/2/2022 14:00,0,1,1.80815031,1.80815031,0,0,1.80815031
1/2/2022 15:00,0,1,1.914629562,1.914629562,0,0,1.914629562
1/2/2022 16:00,0,1,2.332659251,2.332659251,0,0,2.332659251
1/2/2022 17:00,0,1,3.152395108,3.152395108,0,0,3.152395108
1/2/2022 18:00,0,1,3.748434221,3.748434221,0,0,3.748434221
1/2/2022 19:00,0,1,3.751450538,3.751450538,0,0,3.751450538
1/2/2022 20:00,0,1,3.454824848,3.454824848,0,0,3.454824848
1/2/2022 21:00,0,1,3.126430205,3.126430205,0,0,3.126430205
1/2/2022 22:00,0,1,2.553290087,2.553290087,0,0,2.553290087
1/2/2022 23:00,0,1,1.985679175,1.985679175,0,0,1.985679175
1/3/2022 0:00,0,1,1.406039109,1.406039109,0,0,1.406039109
1/3/2022 1:00,0,1,1.156047104,1.156047104,0,0,1.156047104
1/3/2022 2:00,0,1,1.069203219,1.069203219,0,0,1.069203219
1/3/2022 3:00,0,1,1.06023483,1.06023483,0,0,1.06023483
1/3/2022 4:00,0,1,1.108128981,1.108128981,0,0,1.108128981
1/3/2022 5:00,0,1,1.40017921,1.40017921,0,0,1.40017921
1/3/2022 6:00,0,1,2.123150517,2.123150517,0,0,2.123150517
1/3/2022 7:00,0,1,2.743308596,2.743308596,0,0,2.743308596
1/3/2022 8:00,0,1,2.608441117,2.608441117,0,0,2.608441117
1/3/2022 9:00,0,1,2.22306966,2.22306966,0,0,2.22306966
1/3/2022 10:00,0,1,2.087900937,2.087900937,0,0,2.087900937
1/3/2022 11:00,0,1,1.981107879,1.981107879,0,0,1.981107879
1/3/2022 12:00,0,1,1.898162518,1.898162518,0,0,1.898162518
1/3/2022 13:00,0,1,1.832109057,1.832109057,0,0,1.832109057
1/3/2022 14:00,0,1,1.803317595,1.803317595,0,0,1.803317595
1/3/2022 15:00,0,1,1.90923149,1.90923149,0,0,1.90923149
1/3/2022 16:00,0,1,2.341032843,2.341032843,0,0,2.341032843
1/3/2022 17:00,0,1,3.16305772,3.16305772,0,0,3.16305772
1/3/2022 18:00,0,1,3.761376201,3.761376201,0,0,3.761376201
1/3/2022 19:00,0,1,3.765428252,3.765428252,0,0,3.765428252
1/3/2022 20:00,0,1,3.475145823,3.475145823,0,0,3.475145823
1/3/2022 21:00,0,1,3.153540449,3.153540449,0,0,3.153540449
1/3/2022 22:00,0,1,2.586307257,2.586307257,0,0,2.586307257
1/3/2022 23:00,0,1,2.021943374,2.021943374,0,0,2.021943374
1/4/2022 0:00,0,1,1.451035158,1.451035158,0,0,1.451035158
1/4/2022 1:00,0,1,1.208794742,1.208794742,0,0,1.208794742
1/4/2022 2:00,0,1,1.124568636,1.124568636,0,0,1.124568636
1/4/2022 3:00,0,1,1.117963702,1.117963702,0,0,1.117963702
1/4/2022 4:00,0,1,1.16720208,1.16720208,0,0,1.16720208
1/4/2022 5:00,0,1,1.460382204,1.460382204,0,0,1.460382204
1/4/2022 6:00,0,1,2.183541627,2.183541627,0,0,2.183541627
1/4/2022 7:00,0,1,2.793752836,2.793752836,0,0,2.793752836
1/4/2022 8:00,0,1,2.645646547,2.645646547,0,0,2.645646547
1/4/2022 9:00,0,1,2.271201637,2.271201637,0,0,2.271201637
1/4/2022 10:00,0,1,2.112349211,2.112349211,0,0,2.112349211
1/4/2022 11:00,0,1,1.974745166,1.974745166,0,0,1.974745166
1/4/2022 12:00,0,1,1.899413022,1.899413022,0,0,1.899413022
1/4/2022 13:00,0,1,1.807412543,1.807412543,0,0,1.807412543
1/4/2022 14:00,0,1,1.735170521,1.735170521,0,0,1.735170521
1/4/2022 15:00,0,1,1.835388361,1.835388361,0,0,1.835388361
1/4/2022 16:00,0,1,2.244356819,2.244356819,0,0,2.244356819
1/4/2022 17:00,0,1,3.076935796,3.076935796,0,0,3.076935796
1/4/2022 18:00,0,1,3.698960084,3.698960084,0,0,3.698960084
