Start Datetime (hb),BATTERY: es Power (kW),BATTERY: es SOC (%),LOAD: Site Load Original Load (kW),Net Load with Export (kW),PV: solar1 Electric Generation (kW),DR Event (y/n),System Load (kW),Net Grid Import (kW),PV excess generation (kW),PV Grid Export (kW)
1/1/2022 0:00,0,1,1.241092488,1.241092488,0,FALSE,"30,252,629",1.241092488,0,0
1/1/2022 1:00,0,1,0.996146592,0.996146592,0,FALSE,"30,241,312",0.996146592,0,0
1/1/2022 2:00,0,1,0.914302947,0.914302947,0,FALSE,"30,130,350",0.914302947,0,0
1/1/2022 3:00,0,1,0.911195069,0.911195069,0,FALSE,"29,876,031",0.911195069,0,0
1/1/2022 4:00,0,1,0.969012115,0.969012115,0,FALSE,"30,040,023",0.969012115,0,0
1/1/2022 5:00,0,1,1.299662154,1.299662154,0,FALSE,"30,522,870",1.299662154,0,0
1/1/2022 6:00,0,1,2.068527756,2.068527756,0,FALSE,"31,206,870",2.068527756,0,0
1/1/2022 7:00,0,1,2.666347433,2.666347433,0,FALSE,"31,739,123",2.666347433,0,0
1/1/2022 8:00,0,1,2.565673791,1.998055292,0.567618499,FALSE,"31,978,644",1.998055292,0,0
1/1/2022 9:00,0,1,2.177043357,0.962268355,1.214775002,FALSE,"32,490,338",0.962268355,0,0
1/1/2022 10:00,0,1,2.011940125,-0.284248378,2.296188503,FALSE,"32,957,395",0,0.284248378,0.284248378
1/1/2022 11:00,0,1,1.908665176,-0.584531327,2.493196503,FALSE,"33,029,236",0,0.584531327,0.584531327
1/1/2022 12:00,0,1,1.785041151,-0.214003351,1.999044502,FALSE,"32,921,907",0,0.214003351,0.214003351
1/1/2022 13:00,0,1,1.696953455,-2.566712042,4.263665497,FALSE,"32,558,803",0,2.566712042,2.566712042
1/1/2022 14:00,0,1,1.651730671,-1.767253828,3.418984499,FALSE,"32,242,266",0,1.767253828,1.767253828
1/1/2022 15:00,0,1,1.750069885,0.055164883,1.694905002,FALSE,"32,228,906",0.055164883,0,0
1/1/2022 16:00,0,1,2.170273179,1.685889181,0.484383998,FALSE,"32,825,079",1.685889181,0,0
1/1/2022 17:00,0,1,2.977564018,2.977564018,0,FALSE,"34,278,858",2.977564018,0,0
1/1/2022 18:00,0,1,3.615268223,3.615268223,0,FALSE,"34,769,226",3.615268223,0,0
1/1/2022 19:00,0,1,3.631017227,3.631017227,0,FALSE,"34,505,146",3.631017227,0,0
1/1/2022 20:00,0,1,3.331458452,3.331458452,0,FALSE,"34,047,320",3.331458452,0,0
